address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,decoded_data,amount
0x90e80e25abdb6205b08deba29a87f7eb039023c2,['0xda034d023feb4b814f033e846339d802a50d518418fc5f8b2ed987e8b286f556'],0x0000000000000000000000000000000000000000000000006835295fea44113c,19164324,0x3e22787e16fb720c2067ad79310ad7ac12a02a93c25800223501d9e69f5e92bb,1707163523,54272763032,222278,65,0xc100afd4d1e914b003b35980ea79151befc0025b8aeec7dedf190b3b68189ba5,26,"{'event': 'DepositedToEL', 'amount': 7508953445639131452}",7.508953445639131
0x90e80e25abdb6205b08deba29a87f7eb039023c2,['0xda034d023feb4b814f033e846339d802a50d518418fc5f8b2ed987e8b286f556'],0x00000000000000000000000000000000000000000000000033a3395421a3e59e,19188734,0x5ed901abbedec7b3751b716676bcf0428ffbabf7646eee5715f185601fd20657,1707459419,42378732439,160549,154,0x7cfd05dc09980bd9278a305e2482fec7249168c27a03577d9265e3f60696833a,73,"{'event': 'DepositedToEL', 'amount': 3720880750642587038}",3.720880750642587
