address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,decoded_data,amount,sender,event,hours_since_transaction,ideal_points
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x0000000000000000000000000b0f6c957415422462bc8a21540fd9f82fa7c52b', '0x0000000000000000000000000b0f6c957415422462bc8a21540fd9f82fa7c52b']",0x00000000000000000000000000000000000000000000000006f05b59d3b1ffe800000000000000000000000000000000000000000000000006f05b59d3b1ffe8,19126347,0x21a351d195fbbf8fc2468a565b0424499aa2460f86a65fb30843ab12c1e4b3bf,2024-01-31 12:04:59,20927924170,162879,339,0x32fee941b21c32981a625af884960885d330a530c823f9615edb80e870ff425e,140,"{'event': 'Deposit', 'sender': '0x0b0f6c957415422462bc8a21540fd9f82fa7c52b', 'receiver': '0x0b0f6c957415422462bc8a21540fd9f82fa7c52b', 'amount': 499999999999999976, 'iShares': 499999999999999976}",0.5,0x0b0f6c957415422462bc8a21540fd9f82fa7c52b,Deposit,719.0,359.5
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x0000000000000000000000004151e640507727da497eb3997b020d3f9fe6b6ea', '0x0000000000000000000000004151e640507727da497eb3997b020d3f9fe6b6ea']",0x0000000000000000000000000000000000000000000000000017b1acb5b4dcea0000000000000000000000000000000000000000000000000017b1acb5b4dcea,19129959,0xeedb804a5c112769aeded0fb97841751f14642dac54bc21de387bf8a76864b79,2024-02-01 00:14:11,22482155971,162867,324,0xaf67f6e92943142895a0d4298fdd18bd6227f041922255154f2d4ede543bf4ef,111,"{'event': 'Deposit', 'sender': '0x4151e640507727da497eb3997b020d3f9fe6b6ea', 'receiver': '0x4151e640507727da497eb3997b020d3f9fe6b6ea', 'amount': 6669279805365482, 'iShares': 6669279805365482}",0.006669279805365482,0x4151e640507727da497eb3997b020d3f9fe6b6ea,Deposit,706.0,4.70851154258803
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000dc0aa8e0950dfeabc297da2c2299ea5b9411d6d6', '0x000000000000000000000000dc0aa8e0950dfeabc297da2c2299ea5b9411d6d6']",0x000000000000000000000000000000000000000000000000008764ff7c0980ab000000000000000000000000000000000000000000000000008764ff7c0980ab,19131484,0xd58f6d7040ff92aaeec3ce706f327c0f0480d9b06f6ea60510c99a6eb4a2e744,2024-02-01 05:24:11,16703184202,162867,662,0x9b9160836b0f46c79c1656c96e75c6edc0419fb9f5623913c2996b947d9609b5,272,"{'event': 'Deposit', 'sender': '0xdc0aa8e0950dfeabc297da2c2299ea5b9411d6d6', 'receiver': '0xdc0aa8e0950dfeabc297da2c2299ea5b9411d6d6', 'amount': 38110170316374187, 'iShares': 38110170316374187}",0.03811017031637418,0xdc0aa8e0950dfeabc297da2c2299ea5b9411d6d6,Deposit,701.0,26.7152293917783
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000059dd42e89651aae8b2d87dd50c5de2c444c263e4', '0x00000000000000000000000059dd42e89651aae8b2d87dd50c5de2c444c263e4']",0x000000000000000000000000000000000000000000000000026b4847b1eeabe6000000000000000000000000000000000000000000000000026b4847b1eeabe6,19143317,0x4640da5000828fb497b6bc462bc6d5cd2b168436e4a974d839aeba067cad4ed4,2024-02-02 21:13:47,20837515710,167679,186,0x45c8b3e28a66d3c9a5708368dd8c284effc49ef8070014f8b5c45b7b367a3c8c,90,"{'event': 'Deposit', 'sender': '0x59dd42e89651aae8b2d87dd50c5de2c444c263e4', 'receiver': '0x59dd42e89651aae8b2d87dd50c5de2c444c263e4', 'amount': 174312483348982758, 'iShares': 174312483348982758}",0.17431248334898275,0x59dd42e89651aae8b2d87dd50c5de2c444c263e4,Deposit,661.0,115.2205514936776
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000f63022a7c2ea2c27c905d8fbb2da5dd59a1a9525', '0x000000000000000000000000f63022a7c2ea2c27c905d8fbb2da5dd59a1a9525']",0x0000000000000000000000000000000000000000000000004139c1192c5600000000000000000000000000000000000000000000000000004139c1192c560000,19146206,0x6d2377d58108f9501b55a72db739e11dfe25dc7cc363ec3abf937bf4440f2e76,2024-02-03 07:00:35,14794614696,167700,213,0x7b2379ee7f92224c854e90593e884ac398d74c9e031b5019a3203938438fa257,187,"{'event': 'Deposit', 'sender': '0xf63022a7c2ea2c27c905d8fbb2da5dd59a1a9525', 'receiver': '0xf63022a7c2ea2c27c905d8fbb2da5dd59a1a9525', 'amount': 4700000000000000000, 'iShares': 4700000000000000000}",4.7,0xf63022a7c2ea2c27c905d8fbb2da5dd59a1a9525,Deposit,652.0,3064.4
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000052542ffc9120723ac5bd1e7b6b2da9b066621ae3', '0x00000000000000000000000052542ffc9120723ac5bd1e7b6b2da9b066621ae3']",0x0000000000000000000000000000000000000000000000000153d3e808911bb20000000000000000000000000000000000000000000000000153d3e808911bb2,19153036,0x7a6d004d8b744074dd7283bb1196dfa84165d73a46227ee19abeed6a4cc8056c,2024-02-04 06:01:23,15245026518,162879,138,0x8264bd8e77243db7e20a2de7f1511693a4fe0f367ef1d9ea3cc97911617d87d9,49,"{'event': 'Deposit', 'sender': '0x52542ffc9120723ac5bd1e7b6b2da9b066621ae3', 'receiver': '0x52542ffc9120723ac5bd1e7b6b2da9b066621ae3', 'amount': 95653010634513330, 'iShares': 95653010634513330}",0.09565301063451333,0x52542ffc9120723ac5bd1e7b6b2da9b066621ae3,Deposit,629.0,60.165743689108886
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000b0381dc10bb93f63b236a9f8e3dc409fcd39d810', '0x000000000000000000000000b0381dc10bb93f63b236a9f8e3dc409fcd39d810']",0x00000000000000000000000000000000000000000000000001743f80aa515d4100000000000000000000000000000000000000000000000001743f80aa515d41,19153041,0xb2725e934fd72b018a800854df0548b28a725871aa02e13887dbc197d2918370,2024-02-04 06:02:35,15640192232,162879,311,0xbf0aa55163577ade8d330e866ee04513bb7ceb0df2191899077fc88170dd7d6c,115,"{'event': 'Deposit', 'sender': '0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810', 'receiver': '0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810', 'amount': 104778513182186817, 'iShares': 104778513182186817}",0.10477851318218681,0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810,Deposit,629.0,65.9056847915955
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000059f825206540fee5b529091c594a8809b0cf218', '0x000000000000000000000000059f825206540fee5b529091c594a8809b0cf218']",0x000000000000000000000000000000000000000000000000016345785d8a0000000000000000000000000000000000000000000000000000016345785d8a0000,19153074,0x4aefe4ab2e01ea16813392d8387fd2d307a1b202515adefb43405352f3e194e4,2024-02-04 06:09:11,13207531179,167655,126,0xd10b461b6afee789e456188a5529f13e374aa004ee33e9048f67d2a624bc5b46,82,"{'event': 'Deposit', 'sender': '0x059f825206540fee5b529091c594a8809b0cf218', 'receiver': '0x059f825206540fee5b529091c594a8809b0cf218', 'amount': 100000000000000000, 'iShares': 100000000000000000}",0.1,0x059f825206540fee5b529091c594a8809b0cf218,Deposit,629.0,62.900000000000006
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000037f4d11be5536a30c64305e81e324ee2bbe176a5', '0x00000000000000000000000037f4d11be5536a30c64305e81e324ee2bbe176a5']",0x00000000000000000000000000000000000000000000000000a93923686873c000000000000000000000000000000000000000000000000000a93923686873c0,19153083,0xa4bd7d45496f62267225ff3278521177858e345a8d35d86ae04d34d82b589fd2,2024-02-04 06:10:59,13895010514,162867,100,0xb8d450dd22cacc73081e9033f2ec6e90ea5d3ed3d3a651e600737b51839685c2,24,"{'event': 'Deposit', 'sender': '0x37f4d11be5536a30c64305e81e324ee2bbe176a5', 'receiver': '0x37f4d11be5536a30c64305e81e324ee2bbe176a5', 'amount': 47632095302415296, 'iShares': 47632095302415296}",0.047632095302415293,0x37f4d11be5536a30c64305e81e324ee2bbe176a5,Deposit,628.0,29.912955849916806
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000085ca517437174438c6f1f01c501045be559c68de', '0x00000000000000000000000085ca517437174438c6f1f01c501045be559c68de']",0x00000000000000000000000000000000000000000000000000441703c423cd4d00000000000000000000000000000000000000000000000000441703c423cd4d,19153140,0x22a381b17817cdaa1e0c8d3463fa49803647bdc78772538dd0021ceff40b8406,2024-02-04 06:22:23,14000000000,162867,109,0x0b7d3cd37b2a03938ea68fd72a7d8225e3ac99e0157d16161796ba75c1cc5630,88,"{'event': 'Deposit', 'sender': '0x85ca517437174438c6f1f01c501045be559c68de', 'receiver': '0x85ca517437174438c6f1f01c501045be559c68de', 'amount': 19165603359345997, 'iShares': 19165603359345997}",0.019165603359345997,0x85ca517437174438c6f1f01c501045be559c68de,Deposit,628.0,12.035998909669287
